model,theta,chi2,posterior_weight
PATH_GAMMA2P3,0.663780892006187,2139.65967763782,1.9510847501511938e-10
PATH_GAMMA2P3,0.6640172954438874,2139.5428388955265,2.068461038647804e-10
PATH_GAMMA2P3,0.664253698881588,2139.426204788063,2.1926742660607005e-10
PATH_GAMMA2P3,0.6644901023192886,2139.309775307397,2.3241088267733073e-10
PATH_GAMMA2P3,0.6647265057569892,2139.1935504454727,2.463169896388249e-10
PATH_GAMMA2P3,0.6649629091946897,2139.077530194256,2.6102845067698586e-10
PATH_GAMMA2P3,0.6651993126323903,2138.9617145456978,2.76590267407071e-10
PATH_GAMMA2P3,0.6654357160700909,2138.84610349174,2.9304985820563177e-10
PATH_GAMMA2P3,0.6656721195077915,2138.730697024355,3.1045718232729326e-10
PATH_GAMMA2P3,0.6659085229454921,2138.6154951354865,3.2886487009279604e-10
PATH_GAMMA2P3,0.6661449263831926,2138.5004978170887,3.4832835939872046e-10
PATH_GAMMA2P3,0.6663813298208932,2138.385705061125,3.689060388575547e-10
PATH_GAMMA2P3,0.6666177332585937,2138.2711168595515,3.9065939786936306e-10
PATH_GAMMA2P3,0.6668541366962943,2138.156733204308,4.136531839362751e-10
PATH_GAMMA2P3,0.6670905401339949,2138.0425540873634,4.3795556753793663e-10
PATH_GAMMA2P3,0.6673269435716954,2137.9285795006745,4.636383149393174e-10
PATH_GAMMA2P3,0.667563347009396,2137.8148094361777,4.907769692642139e-10
PATH_GAMMA2P3,0.6677997504470966,2137.7012438858496,5.194510401963975e-10
PATH_GAMMA2P3,0.6680361538847972,2137.587882841637,5.497442027417982e-10
PATH_GAMMA2P3,0.6682725573224978,2137.47472629549,5.817445054015987e-10
PATH_GAMMA2P3,0.6685089607601983,2137.3617742393735,6.155445882034048e-10
PATH_GAMMA2P3,0.6687453641978989,2137.249026665226,6.512419110396525e-10
PATH_GAMMA2P3,0.6689817676355995,2137.1364835650215,6.889389927230241e-10
PATH_GAMMA2P3,0.6692181710733001,2137.0241449307164,7.287436612960653e-10
PATH_GAMMA2P3,0.6694545745110007,2136.9120107542535,7.707693160401974e-10
PATH_GAMMA2P3,0.6696909779487011,2136.800081027591,8.151352017005362e-10
PATH_GAMMA2P3,0.6699273813864017,2136.688355742687,8.619666954873186e-10
PATH_GAMMA2P3,0.6701637848241023,2136.576834891492,9.113956073899784e-10
PATH_GAMMA2P3,0.6704001882618029,2136.4655184659755,9.635604943725295e-10
PATH_GAMMA2P3,0.6706365916995034,2136.3544064580774,1.0186069890927356e-09
PATH_GAMMA2P3,0.670872995137204,2136.243498859763,1.0766881436946166e-09
